Key,schinese

zAfterlife,--------------------------------------------------------------------

# General / Miscellaneous {{{
AL_LK_BuildBlock,建造/升级方块
AL_LK_Food,[(((ColourFood)))]食物[-]
AL_LK_Water,[(((ColourWater)))]水[-]

AL_LK_CraftingSkillPrefixRGB,[(((ColourModded)))]制作技能:[-]
AL_LK_BookPrefixRGB,[(((ColourModded)))]书籍:[-]
AL_LK_PerkPrefixRGB,[(((ColourModded)))]特性:[-]
AL_LK_SkillPrefixRGB,[(((ColourModded)))]技能:[-]
AL_LK_AttributePrefixRGB,[(((ColourModded)))]属性:[-]
AL_LK_BookGroupPrefixRGB,[(((ColourModded)))]书籍组:[-]

AL_LK_Buffs,增益效果
AL_LK_Logging,伐木
AL_LK_Mining,采矿
AL_LK_Digging,挖掘
AL_LK_Construction,建造与修理
AL_LK_Salvage,拆解
AL_LK_Healing,治疗

AL_LK_RemoveBracketed,[(((ColourModded)))][移除][-]

AL_LK_AlcoholismName,酒精依赖
AL_LK_AlcoholismDesc,你喝得太多了……但你需要更多。

AL_LK_EquipSlotLight,光源
AL_LK_Survive,生存
AL_LK_Unlocked,解锁
AL_LK_Capacity,容量
AL_LK_HealthRegen,[(((ColourLightCoral)))]生命值回复[-]

AL_LK_StoneTools,石质工具
AL_LK_ScrapTools,废料工具
AL_LK_BronzeTools,[(((ColourDarkSalmon)))]青铜工具[-]
AL_LK_IronTools,铁质工具
AL_LK_SteelTools,钢质工具

AL_LK_ElectronicsT1,电子设备一级
AL_LK_ElectronicsT2,电子设备二级
AL_LK_ElectronicsT3,电子设备三级

AL_LK_CanBePickedUp,[(((ColourLightGreen)))]可以拾取[-]

AL_LK_RainCatcher,雨水收集器
AL_LK_EffectsColon,[(((ColourModded)))]效果:[-]

AL_LK_TurnedPenalty,[(((ColourTomato)))]你转过身了。[-]

AL_LK_RemoveTools,它里面还有工具。
AL_LK_QueueNotEmpty,它还在制作中。
AL_LK_FuelNotEmpty,它里面还有燃料。
AL_LK_OutputNotEmpty,它的输出不是空的。
AL_LK_ContainerNotEmpty,它不是空的。

AL_LK_Heat,热量

AL_LK_ReceivedWorkstationXP,你获得了 [(((ColourModded)))] 工作台 [-] 经验。
AL_LK_MeleeWeapons,近战武器
AL_LK_RangedWeapons,远程武器
AL_LK_Ammo,弹药

AL_LK_Workstation,工作台
AL_LK_Tool,工具
AL_LK_None,无
AL_LK_RequiredWorkstation,所需工作台
AL_LK_RequiredTool,所需工具

AL_LK_Using,使用中
AL_LK_UsingInf,使用
AL_LK_Applying,应用中
AL_LK_ApplyingInf,应用
AL_LK_Eating,进食
AL_LK_EatingInf,吃
AL_LK_Drinking,喝水
AL_LK_DrinkingInf,喝
AL_LK_Taking,服用
AL_LK_TakingInf,服用
AL_LK_Reading,阅读
AL_LK_ReadingInf,读
AL_LK_Gathering,采集
AL_LK_General,通用
AL_LK_Class,类别
AL_LK_ClassPerks,类别特性
AL_LK_Vitality,活力
AL_LK_Combat,战斗
AL_LK_Crafting,制作
AL_LK_Survival,生存
AL_LK_Mobility,移动能力
AL_LK_ZombieKills,丧尸击杀数

AL_LK_ContainerFull,容器已满。
AL_LK_LiquidContainer,[77f4ff]液体容器[-]
AL_LK_Weight,重量
AL_LK_WeightLabel,(((AL_LK_Weight))):
AL_LK_WeightKg,(((AL_LK_Weight))) (kg)
AL_LK_IndividualWeightKg,单个重量 (kg)
AL_LK_StackWeightKg,堆叠重量 (kg)
AL_LK_Kg,Kg
AL_LK_Sobering,清醒
AL_LK_Supports,支持
AL_LK_WetnessResistance,防湿性

AL_LK_ZInfectionTestInfected,试剂盒的结果表明 [dd0000] 你已被感染 [-]。
AL_LK_ZInfectionTestNotInfected,试剂盒的结果表明你 [00ff00] 未被感染 [-]。
AL_LK_ZInfectionTestOtherInfected,试剂盒的结果表明 [dd0000] 他们已被感染 [-]。
AL_LK_ZInfectionTestOtherNotInfected,试剂盒的结果表明他们 [00ff00] 未被感染 [-]。

AL_LK_ZInfectionObvious,由于其严重程度，现在很明显 [dd0000] 你已被感染 [-]。

AL_LK_SortByWeight,按重量排序 [bbbbbb]（降序）[-]

AL_LK_Cleave,[(((ColourModded)))]横扫[-]
AL_LK_Backstab,[(((ColourModded)))]背刺[-]
AL_LK_PowerAttack,[(((ColourModded)))]强力攻击[-]
AL_LK_PushAttack,[(((ColourModded)))]推击[-]
AL_LK_Weaken,[(((ColourModded)))]削弱[-]

